url,price,Lng,Lat,district,distance,age,square,communityAverage,followers,tradeTime,constructionTime,livingRoom,floorType,floorHeight,buildingType,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway
https://bj.lianjia.com/chengjiao/BJCY87837447.html,50987,116.462116,39.973094,7,0.08797854222479441,15,44.09,90017.0,0,2014,2004,1,High,12,3,4,6,0.333,1,1,0
https://bj.lianjia.com/chengjiao/BJCY91776597.html,77163,116.471508,40.000031,7,0.11529707812863246,9,67.39,103324.0,15,2016,2010,1,High,23,1,1,6,0.429,1,1,1
https://bj.lianjia.com/chengjiao/BJFT84794712.html,27627,116.423673,39.86437700000001,2,0.04301955204321922,22,79.09,54000.0,0,2012,1997,2,High,22,1,1,6,0.25,1,1,1
https://bj.lianjia.com/chengjiao/101100457400.html,31594,116.233846,39.905003,9,0.17355585765107015,25,65.52,48951.0,13,2016,1994,2,Top,6,4,3,2,0.333,0,0,0
https://bj.lianjia.com/chengjiao/BJXC88437414.html,37214,116.368316,39.892214,10,0.04088059750052837,19,54.55,75806.0,7,2014,2000,1,Low,20,1,3,6,0.16699999999999998,1,1,1
https://bj.lianjia.com/chengjiao/BJHD91099784.html,56819,116.374459,39.995227,8,0.09680405058673436,26,61.6,81499.0,4,2015,1993,2,Low,18,1,4,6,0.2,1,1,0
https://bj.lianjia.com/chengjiao/BJCP85571526.html,21698,116.415742,40.077796,6,0.17379631808527676,16,112.41,37661.0,0,2013,2003,3,Middle,32,1,1,6,0.3,1,1,1
https://bj.lianjia.com/chengjiao/BJCP91096698.html,28434,116.429292,40.111125,6,0.20807982912574594,19,89.33,42786.0,5,2016,2000,2,Bottom,6,4,4,2,0.5,0,0,0
https://bj.lianjia.com/chengjiao/BJTJ90800783.html,33177,116.703234,39.911017,11,0.2959125327609487,8,99.77,57333.0,3,2015,2011,2,Low,25,3,4,6,0.667,1,1,1
https://bj.lianjia.com/chengjiao/BJHD89323362.html,50924,116.309564,39.958802,8,0.11204133746077695,21,75.8,87590.0,13,2015,1998,2,Bottom,6,4,4,2,0.5,0,0,0
https://bj.lianjia.com/chengjiao/101101269124.html,48322,116.652626,39.909058,11,0.24527411449233927,25,61.67,46078.0,11,2017,1994,2,Top,6,4,3,4,0.5,0,0,1
https://bj.lianjia.com/chengjiao/BJDX90401717.html,23872,116.329598,39.682354,4,0.23509317072174066,5,73.31,44061.0,3,2015,2014,2,Middle,18,4,4,6,0.5,1,1,1
https://bj.lianjia.com/chengjiao/101100448801.html,40892,116.402495,39.846914,2,0.05749560697131992,21,48.91,51991.0,4,2016,1998,1,Top,6,4,1,2,0.25,0,0,1
